"feature","coefficient"
"model535 i",-5045.85555901301
"ext_col.Baltic Gray",5044.37902072683
"modelGrand Wagoneer Series III",5043.57720995939
"modelDTS Base",-5043.09640215179
"engine240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel",-5037.48260616461
"modelMonte Carlo Supercharged SS",-5037.44898510484
"modelCayenne E-Hybrid S",-5036.65926176318
"modelRover Range Rover Evoque SE Premium",-5035.11351186375
"engine503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel",5031.22083977462
"modelSequoia TRD Pro",5029.53015257494
"engine255.0HP 4.8L 8 Cylinder Engine Gasoline Fuel",-5025.32568719686
"modelSLK-Class SLK230 Kompressor",-5014.27799663791
"engine190.0HP 2.3L 4 Cylinder Engine Gasoline Fuel",-5014.22314838689
"engine120 AH",-5013.82498425925
"engine210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel",-5011.83746863039
"modelAvalon XLS",-5011.79239924002
"modelTSX Technology",-5005.42754102729
"engine172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel",-4999.23938217459
